Framework,1,5,10,15,20
vertx,7193,2028,1035,725,518
wicket,3845,1786,1022,702,565
sinatra-ruby,636,338,206,144,114
sinatra-jruby,345,220,155,119,96
spring,3836,1741,997,699,531
tapestry,3229,1621,997,718,567
nodejs-mysql-raw,1180,342,178,115,97
cake,142,122,104,91,81
gemini,8580,2231,1387,944,714
django,415,200,122,87,68
compojure,3852,1167,624,426,323
express-mongodb,1543,426,250,151,122
grails,1850,1040,672,493,391
express-mysql,759,249,102,67,94
nodejs-mongodb,1576,539,237,165,125
php,497,350,259,208,170
nodejs-mysql,803,197,102,68,51
play,1578,615,345,246,188
php-raw,2543,1743,1188,804,614
rails-jruby,533,270,169,124,98
rails-ruby,438,261,167,123,98
servlet-raw,6869,2239,1206,843,635
flask,531,221,128,90,69
yesod,1484,223,176,152,132
http-kit,3584,1243,695,472,365
rails-stripped-jruby,624,299,184,134,105
rails-stripped-ruby,510,286,179,129,100
django-stripped,558,228,132,89,70
