Framework,1,5,10,15,20
unfiltered,29474,6494,3283,2195,1652
openresty,95922,22190,11791,8065,6116
kohana-raw,2179,1903,1662,1479,1332
laravel-raw,1576,1318,1103,948,834
codeigniter-raw,3644,2986,2505,2162,1905
tornado-raw,5598,2229,1216,880,633
play1,186,4,0,0,0
play1siena,7908,5541,2769,1886,1438
fuel,1433,1118,881,727,623
slim,3486,2562,1951,1577,1331
vertx,23997,3963,2014,1380,1052
wicket,40931,15030,8398,5807,4442
go,2606,517,247,163,123
sinatra-ruby,3828,1644,958,675,523
sinatra-jruby,426,330,318,341,320
spring,34315,13848,7919,5553,4283
tapestry,30540,14483,8652,6176,4828
finagle-future-pool,13012,2879,1473,988,743
nodejs-mongodb-raw,27426,11632,6860,4873,3774
finagle,13183,2901,1473,987,739
lift-stateless,3192,2909,2610,2383,2201
nodejs-mysql-raw,12198,3355,1724,1206,918
onion-raw,34074,6473,3206,2153,1611
cowboy,23891,6124,3184,2161,1633
snap,9084,3554,1118,1402,1052
cake,1127,937,782,669,585
gemini,93171,26461,13817,9424,7185
django,2437,1050,618,438,337
compojure,28293,7866,4175,2825,2128
express-mongodb,15418,5240,2894,1957,1501
grails,14351,7671,4939,3600,2835
express-mysql,8069,2017,1026,695,516
nodejs-mongodb,17432,5581,3028,2077,1578
elli,26150,6304,3242,2191,1642
php,3930,2619,1878,1468,1208
nodejs-mysql,8436,2036,1035,687,514
play,6587,3987,2765,2125,1615
php-raw,26849,17852,10428,7537,6095
scalatra-raw,45196,12183,6682,4782,3850
lithium,1378,874,601,459,371
rails-jruby,1945,1152,775,584,473
rails-ruby,2613,1323,831,607,480
servlet-raw,82987,22506,11881,8093,6131
symfony2,560,524,486,455,426
flask,3316,1365,792,563,434
phreeze,43,34,33,33,37
yesod,31053,10488,5635,3851,2913
http-kit,56199,11598,5590,3739,2808
rails-stripped-jruby,2237,1265,837,625,496
rails-stripped-ruby,3173,1463,890,641,502
django-stripped,2928,1133,645,452,348
play-scala,17566,5503,2874,1940,1506
silex-raw,1737,1623,1502,1405,1322
